"","Mgmt.Council","n.Assessments","n.Species","boundaries.Y","dataprep.Y","model.Y","sciadv.Y","other.Y","rebuild.Y","Ave.Metric.Tons_Commercial","Ave.Metric.Tons_Recreational","Ave.Dollars.Adj_Commercial","PerTon_Ave.Dollars.Adj_Commercial","Eco.Bathy","Eco.BenthPlank","Eco.BenthPisc","Eco.PelagBenthPlank","Eco.PelagBenthPisc","Eco.PelagOceanPisc","Eco.PelagNeritPlank","Eco.PelagNeritPisc","Eco.Reef","Schooling","Transboundary","MaxSize","Fisheries.Dep.Only"
"1","Caribbean",8,4,0,5,0,0,0,1,67.86111111,3.970892,1279259.48944667,11534.1873252286,0,0,1,0,0,0,0,0,3,0,4,1.0775,1
"2","Gulf of Mexico",17,16,4,15,4,0,2,4,1927.62856331533,1965.2708325,11943269.3290533,7139.54617477763,0,0,6,0,0,0,0,1,9,2,16,1.0795625,1
"3","International, Atlantic",26,23,15,19,7,3,1,10,267.365817873684,581.3117712,2327619.34584211,4112.97857332733,0,0,3,0,1,14,0,0,4,4,22,2.95272727272727,9
"4","International, Pacific",19,13,12,19,15,3,12,0,15873.4464679714,170.74250294,14442907.47735,5263.16970288008,0,0,0,0,0,14,0,1,0,5,15,3.30933333333333,10
"5","Joint Council Mgmt, Atlantic",6,5,2,5,0,2,0,0,2031.48157932,991.5520825,3591277.69,5091.2311209198,1,0,0,0,0,0,1,1,2,2,5,1.33,1
"6","Mid-Atlantic",11,11,3,8,3,0,6,2,3576.74470038364,2289.82424671429,8766417.81157273,3903.64001743712,0,2,4,1,1,1,0,1,1,2,10,0.630454545454545,2
"7","New England",41,28,21,19,1,4,13,11,5131.78949986038,165.749988777895,21518824.6850919,3650.3029928988,2,2,21,1,2,0,0,0,0,1,27,1.02832142857143,0
"8","North Pacific",75,48,29,40,10,40,20,2,92156377.6228742,NA,49094102.9813125,3472.81789628688,5,2,21,0,5,0,0,0,1,0,34,0.936617647058824,3
"9","Pacific",97,77,32,45,41,32,7,2,2121.39498766233,43.5049254064516,1961838.47072535,5807.23257130308,15,0,43,0,3,2,3,1,10,5,77,0.719376623376623,35
"10","South Atlantic",35,32,6,10,1,1,6,5,1188.2910294,417.859210134615,7042816.71160853,7566.79589896855,0,1,12,0,1,1,0,2,14,5,31,1.09287096774194,3
"11","Western Pacific",20,19,0,7,0,0,1,1,12.543269226,31.857302,213256.170116,11498.3685553237,0,0,1,0,3,1,0,0,8,0,13,1.05469230769231,7
